	alge	Spelling_1	Spelling_2
1	Sg+Nom	 alge    	
2	Sg+Gen	 alge    	
3	Sg+Acc	 alge    	
4	Sg+Ill	 aalgan    	
5	Sg+Loc	 algeest    	
6	Sg+Com	 olgijn    	
7	Sg+Abe	 algettáá    	
8	Ess	 algen    	
9	Par	 alged    	
10	Pl+Nom	 algeh    	
11	Pl+Gen	 olgij    	 oolgij    
12	Pl+Acc	 oolgijd    	
13	Pl+Ill	 olgijd    	
14	Pl+Loc	 oolgijn    	
15	Pl+Com	 olgijguin    	 olgijgijn    
16	Pl+Abe	 olgijttáá    	
	alme	Spelling_1	Spelling_2
1	Sg+Nom	 alme    	
2	Sg+Gen	 alme    	
3	Sg+Acc	 alme    	
4	Sg+Ill	 aalman    	
5	Sg+Loc	 almeest    	
6	Sg+Com	 olmijn    	
7	Sg+Abe	 almettáá    	
8	Ess	 almen    	
9	Par	 almed    	
10	Pl+Nom	 almeh    	
11	Pl+Gen	 olmij    	 oolmij    
12	Pl+Acc	 oolmijd    	
13	Pl+Ill	 olmijd    	
14	Pl+Loc	 oolmijn    	
15	Pl+Com	 olmijguin    	 olmijgijn    
16	Pl+Abe	 olmijttáá    	
	arve	Spelling_1	Spelling_2
1	Sg+Nom	 arve    	
2	Sg+Gen	 arve    	
3	Sg+Acc	 arve    	
4	Sg+Ill	 aarvan    	
5	Sg+Loc	 arveest    	
6	Sg+Com	 orvijn    	
7	Sg+Abe	 arvettáá    	
8	Ess	 arven    	
9	Par	 arved    	
10	Pl+Nom	 arveh    	
11	Pl+Gen	 orvij    	 oorvij    
12	Pl+Acc	 oorvijd    	
13	Pl+Ill	 orvijd    	
14	Pl+Loc	 oorvijn    	
15	Pl+Com	 orvijguin    	 orvijgijn    
16	Pl+Abe	 orvijttáá    	
	aske	Spelling_1	Spelling_2
1	Sg+Nom	 aske    	
2	Sg+Gen	 aske    	
3	Sg+Acc	 aske    	
4	Sg+Ill	 aaskan    	
5	Sg+Loc	 askeest    	
6	Sg+Com	 oskijn    	
7	Sg+Abe	 askettáá    	
8	Ess	 asken    	
9	Par	 asked    	
10	Pl+Nom	 askeh    	
11	Pl+Gen	 oskij    	 ooskij    
12	Pl+Acc	 ooskijd    	
13	Pl+Ill	 oskijd    	
14	Pl+Loc	 ooskijn    	
15	Pl+Com	 oskijguin    	 oskijgijn    
16	Pl+Abe	 oskijttáá    	
	čalme	Spelling_1	Spelling_2
1	Sg+Nom	 čalme    	
2	Sg+Gen	 čalme    	
3	Sg+Acc	 čalme    	
4	Sg+Ill	 čaalman    	
5	Sg+Loc	 čalmeest    	
6	Sg+Com	 čolmijn    	
7	Sg+Abe	 čalmettáá    	
8	Ess	 čalmen    	
9	Par	 čalmed    	
10	Pl+Nom	 čalmeh    	
11	Pl+Gen	 čolmij    	 čoolmij    
12	Pl+Acc	 čoolmijd    	
13	Pl+Ill	 čolmijd    	
14	Pl+Loc	 čoolmijn    	
15	Pl+Com	 čolmijguin    	 čolmijgijn    
16	Pl+Abe	 čolmijttáá    	
	lapse	Spelling_1	Spelling_2
1	Sg+Nom	 lapse    	
2	Sg+Gen	 lapse    	
3	Sg+Acc	 lapse    	
4	Sg+Ill	 laapsan    	
5	Sg+Loc	 lapseest    	
6	Sg+Com	 lopsijn    	
7	Sg+Abe	 lapsettáá    	
8	Ess	 lapsen    	
9	Par	 lapsed    	
10	Pl+Nom	 lapseh    	
11	Pl+Gen	 lopsij    	 loopsij    
12	Pl+Acc	 loopsijd    	
13	Pl+Ill	 lopsijd    	
14	Pl+Loc	 loopsijn    	
15	Pl+Com	 lopsijguin    	 lopsijgijn    
16	Pl+Abe	 lopsijttáá    	
	nartte	Spelling_1	Spelling_2
1	Sg+Nom	 nartte    	
2	Sg+Gen	 narte    	
3	Sg+Acc	 narte    	
4	Sg+Ill	 naartan    	
5	Sg+Loc	 nartteest    	
6	Sg+Com	 norttijn    	
7	Sg+Abe	 nartettáá    	
8	Ess	 nartten    	
9	Par	 nartted    	
10	Pl+Nom	 narteh    	
11	Pl+Gen	 nortij    	 noortij    
12	Pl+Acc	 noortijd    	
13	Pl+Ill	 norttijd    	
14	Pl+Loc	 noortijn    	
15	Pl+Com	 nortijguin    	 nortijgijn    
16	Pl+Abe	 nortijttáá    	
	parfe	Spelling_1	Spelling_2
1	Sg+Nom	 parfe    	
2	Sg+Gen	 parfe    	
3	Sg+Acc	 parfe    	
4	Sg+Ill	 paarfan    	
5	Sg+Loc	 parfeest    	
6	Sg+Com	 porfijn    	
7	Sg+Abe	 parfettáá    	
8	Ess	 parfen    	
9	Par	 parfed    	
10	Pl+Nom	 parfeh    	
11	Pl+Gen	 porfij    	 poorfij    
12	Pl+Acc	 poorfijd    	
13	Pl+Ill	 porfijd    	
14	Pl+Loc	 poorfijn    	
15	Pl+Com	 porfijguin    	 porfijgijn    
16	Pl+Abe	 porfijttáá    	
	sađhme	Spelling_1	Spelling_2
1	Sg+Nom	 sađhme    	
2	Sg+Gen	 sađhme    	
3	Sg+Acc	 sađhme    	
4	Sg+Ill	 saađhman    	
5	Sg+Loc	 sađhmeest    	
6	Sg+Com	 sođhmijn    	
7	Sg+Abe	 sađhmettáá    	
8	Ess	 sađhmen    	
9	Par	 sađhmed    	
10	Pl+Nom	 sađhmeh    	
11	Pl+Gen	 sođhmij    	 soođhmij    
12	Pl+Acc	 soođhmijd    	
13	Pl+Ill	 sođhmijd    	
14	Pl+Loc	 soođhmijn    	
15	Pl+Com	 sođhmijguin    	 sođhmijgijn    
16	Pl+Abe	 sođhmijttáá    	
	snarve	Spelling_1	Spelling_2
1	Sg+Nom	 snarve    	
2	Sg+Gen	 snarve    	
3	Sg+Acc	 snarve    	
4	Sg+Ill	 snaarvan    	
5	Sg+Loc	 snarveest    	
6	Sg+Com	 snorvijn    	
7	Sg+Abe	 snarvettáá    	
8	Ess	 snarven    	
9	Par	 snarved    	
10	Pl+Nom	 snarveh    	
11	Pl+Gen	 snorvij    	 snoorvij    
12	Pl+Acc	 snoorvijd    	
13	Pl+Ill	 snorvijd    	
14	Pl+Loc	 snoorvijn    	
15	Pl+Com	 snorvijguin    	 snorvijgijn    
16	Pl+Abe	 snorvijttáá    	
	šalde	Spelling_1	Spelling_2
1	Sg+Nom	 šalde    	
2	Sg+Gen	 šalde    	
3	Sg+Acc	 šalde    	
4	Sg+Ill	 šaaldan    	
5	Sg+Loc	 šaldeest    	
6	Sg+Com	 šoldijn    	
7	Sg+Abe	 šaldettáá    	
8	Ess	 šalden    	
9	Par	 šalded    	
10	Pl+Nom	 šaldeh    	
11	Pl+Gen	 šoldij    	 šooldij    
12	Pl+Acc	 šooldijd    	
13	Pl+Ill	 šoldijd    	
14	Pl+Loc	 šooldijn    	
15	Pl+Com	 šoldijguin    	 šoldijgijn    
16	Pl+Abe	 šoldijttáá    	
	šalme	Spelling_1	Spelling_2
1	Sg+Nom	 šalme    	
2	Sg+Gen	 šalme    	
3	Sg+Acc	 šalme    	
4	Sg+Ill	 šaalman    	
5	Sg+Loc	 šalmeest    	
6	Sg+Com	 šolmijn    	
7	Sg+Abe	 šalmettáá    	
8	Ess	 šalmen    	
9	Par	 šalmed    	
10	Pl+Nom	 šalmeh    	
11	Pl+Gen	 šolmij    	 šoolmij    
12	Pl+Acc	 šoolmijd    	
13	Pl+Ill	 šolmijd    	
14	Pl+Loc	 šoolmijn    	
15	Pl+Com	 šolmijguin    	 šolmijgijn    
16	Pl+Abe	 šolmijttáá    	
	tarfe	Spelling_1	Spelling_2
1	Sg+Nom	 tarfe    	
2	Sg+Gen	 tarfe    	
3	Sg+Acc	 tarfe    	
4	Sg+Ill	 taarfan    	
5	Sg+Loc	 tarfeest    	
6	Sg+Com	 torfijn    	
7	Sg+Abe	 tarfettáá    	
8	Ess	 tarfen    	
9	Par	 tarfed    	
10	Pl+Nom	 tarfeh    	
11	Pl+Gen	 torfij    	 toorfij    
12	Pl+Acc	 toorfijd    	
13	Pl+Ill	 torfijd    	
