	cagge	Spelling_1	Spelling_2
1	Sg+Nom	 cagge    	
2	Sg+Gen	 cage    	
3	Sg+Acc	 cage    	
4	Sg+Ill	 caagan    	
5	Sg+Loc	 caggeest    	
6	Sg+Com	 coggijn    	
7	Sg+Abe	 cagettáá    	
8	Ess	 caggen    	
9	Par	 cagged    	
10	Pl+Nom	 cageh    	
11	Pl+Gen	 cogij    	 coogij    
12	Pl+Acc	 coogijd    	
13	Pl+Ill	 coggijd    	
14	Pl+Loc	 coogijn    	
15	Pl+Com	 cogijguin    	 cogijgijn    
16	Pl+Abe	 cogijttáá    	
	čagge	Spelling_1	Spelling_2
1	Sg+Nom	 čagge    	
2	Sg+Gen	 čage    	
3	Sg+Acc	 čage    	
4	Sg+Ill	 čaagan    	
5	Sg+Loc	 čaggeest    	
6	Sg+Com	 čoggijn    	
7	Sg+Abe	 čagettáá    	
8	Ess	 čaggen    	
9	Par	 čagged    	
10	Pl+Nom	 čageh    	
11	Pl+Gen	 čogij    	 čoogij    
12	Pl+Acc	 čoogijd    	
13	Pl+Ill	 čoggijd    	
14	Pl+Loc	 čoogijn    	
15	Pl+Com	 čogijguin    	 čogijgijn    
16	Pl+Abe	 čogijttáá    	
	fagge	Spelling_1	Spelling_2
1	Sg+Nom	 fagge    	
2	Sg+Gen	 fage    	
3	Sg+Acc	 fage    	
4	Sg+Ill	 faagan    	
5	Sg+Loc	 faggeest    	
6	Sg+Com	 foggijn    	
7	Sg+Abe	 fagettáá    	
8	Ess	 faggen    	
9	Par	 fagged    	
10	Pl+Nom	 fageh    	
11	Pl+Gen	 fogij    	 foogij    
12	Pl+Acc	 foogijd    	
13	Pl+Ill	 foggijd    	
14	Pl+Loc	 foogijn    	
15	Pl+Com	 fogijguin    	 fogijgijn    
16	Pl+Abe	 fogijttáá    	
	hadde	Spelling_1	Spelling_2
1	Sg+Nom	 hadde    	
2	Sg+Gen	 hade    	
3	Sg+Acc	 hade    	
4	Sg+Ill	 haadan    	
