	kolle	Spelling_1	Spelling_2
1	Sg+Nom	 kolle    	
2	Sg+Gen	 kole    	
3	Sg+Acc	 kole    	
4	Sg+Ill	 koolán    	
5	Sg+Loc	 kolleest    	
6	Sg+Com	 kullijn    	
7	Sg+Abe	 kolettáá    	
8	Ess	 kollen    	
9	Par	 kolled    	
10	Pl+Nom	 koleh    	
11	Pl+Gen	 kulij    	 kuulij    
12	Pl+Acc	 kuulijd    	
13	Pl+Ill	 kullijd    	
14	Pl+Loc	 kuulijn    	
15	Pl+Com	 kulijguin    	 kulijgijn    
16	Pl+Abe	 kulijttáá    	
	lanne	Spelling_1	Spelling_2
1	Sg+Nom	 lanne    	
2	Sg+Gen	 lane    	
3	Sg+Acc	 lane    	
4	Sg+Ill	 laanan    	
5	Sg+Loc	 lanneest    	
6	Sg+Com	 lonnijn    	
7	Sg+Abe	 lanettáá    	
8	Ess	 lannen    	
9	Par	 lanned    	
10	Pl+Nom	 laneh    	
11	Pl+Gen	 lonij    	 loonij    
12	Pl+Acc	 loonijd    	
13	Pl+Ill	 lonnijd    	
14	Pl+Loc	 loonijn    	
15	Pl+Com	 lonijguin    	 lonijgijn    
16	Pl+Abe	 lonijttáá    	
	pille	Spelling_1	Spelling_2
1	Sg+Nom	 pille    	
2	Sg+Gen	 pile    	
3	Sg+Acc	 pile    	
4	Sg+Ill	 piilán    	
5	Sg+Loc	 pilleest    	
6	Sg+Com	 pillijn    	
7	Sg+Abe	 pilettáá    	
8	Ess	 pillen    	
9	Par	 pilled    	
10	Pl+Nom	 pileh    	
11	Pl+Gen	 pilij    	 piilij    
12	Pl+Acc	 piilijd    	
13	Pl+Ill	 pillijd    	
14	Pl+Loc	 piilijn    	
15	Pl+Com	 pilijguin    	 pilijgijn    
16	Pl+Abe	 pilijttáá    	
	sinne	Spelling_1	Spelling_2
1	Sg+Nom	 sinne    	
2	Sg+Gen	 sine    	
3	Sg+Acc	 sine    	
4	Sg+Ill	 siinán    	
5	Sg+Loc	 sinneest    	
6	Sg+Com	 sinnijn    	
7	Sg+Abe	 sinettáá    	
8	Ess	 sinnen    	
9	Par	 sinned    	
10	Pl+Nom	 sineh    	
11	Pl+Gen	 sinij    	 siinij    
12	Pl+Acc	 siinijd    	
13	Pl+Ill	 sinnijd    	
14	Pl+Loc	 siinijn    	
15	Pl+Com	 sinijguin    	 sinijgijn    
16	Pl+Abe	 sinijttáá    	
	skinne	Spelling_1	Spelling_2
1	Sg+Nom	 skinne    	
2	Sg+Gen	 skine    	
3	Sg+Acc	 skine    	
4	Sg+Ill	 skiinán    	
5	Sg+Loc	 skinneest    	
6	Sg+Com	 skinnijn    	
7	Sg+Abe	 skinettáá    	
8	Ess	 skinnen    	
9	Par	 skinned    	
10	Pl+Nom	 skineh    	
11	Pl+Gen	 skinij    	 skiinij    
12	Pl+Acc	 skiinijd    	
13	Pl+Ill	 skinnijd    	
14	Pl+Loc	 skiinijn    	
15	Pl+Com	 skinijguin    	 skinijgijn    
16	Pl+Abe	 skinijttáá    	
	čolle	Spelling_1	Spelling_2
1	Sg+Nom	 čolle    	
2	Sg+Gen	 čole    	
3	Sg+Acc	 čole    	
4	Sg+Ill	 čoolán    	
5	Sg+Loc	 čolleest    	
6	Sg+Com	 čullijn    	
7	Sg+Abe	 čolettáá    	
8	Ess	 čollen    	
9	Par	 čolled    	
10	Pl+Nom	 čoleh    	
11	Pl+Gen	 čulij    	 čuulij    
12	Pl+Acc	 čuulijd    	
13	Pl+Ill	 čullijd    	
14	Pl+Loc	 čuulijn    	
15	Pl+Com	 čulijguin    	 čulijgijn    
16	Pl+Abe	 čulijttáá    	
	komme	Spelling_1	Spelling_2
1	Sg+Nom	 komme    	
2	Sg+Gen	 kome    	
3	Sg+Acc	 kome    	
4	Sg+Ill	 koomán    	
5	Sg+Loc	 kommeest    	
6	Sg+Com	 kummijn    	
7	Sg+Abe	 komettáá    	
8	Ess	 kommen    	
9	Par	 kommed    	
10	Pl+Nom	 komeh    	
11	Pl+Gen	 kumij    	 kuumij    
12	Pl+Acc	 kuumijd    	
13	Pl+Ill	 kummijd    	
14	Pl+Loc	 kuumijn    	
15	Pl+Com	 kumijguin    	 kumijgijn    
16	Pl+Abe	 kumijttáá    	
	ponne	Spelling_1	Spelling_2
1	Sg+Nom	 ponne    	
2	Sg+Gen	 pone    	
3	Sg+Acc	 pone    	
4	Sg+Ill	 poonán    	
5	Sg+Loc	 ponneest    	
6	Sg+Com	 punnijn    	
7	Sg+Abe	 ponettáá    	
8	Ess	 ponnen    	
9	Par	 ponned    	
10	Pl+Nom	 poneh    	
11	Pl+Gen	 punij    	 puunij    
12	Pl+Acc	 puunijd    	
13	Pl+Ill	 punnijd    	
