	njune	Spelling_1	Spelling_2
1	Sg+Nom	 njune    	
2	Sg+Gen	 njune    	
3	Sg+Acc	 njune    	
4	Sg+Ill	 njunán    	
5	Sg+Loc	 njuuneest    	
6	Sg+Com	 njuunijn    	
7	Sg+Abe	 njunettáá    	
8	Ess	 njunneen    	
9	Par	 njunneed    	
10	Pl+Nom	 njuneh    	
11	Pl+Gen	 njunij    	 njuunij    
12	Pl+Acc	 njuunijd    	
13	Pl+Ill	 njuunijd    	
14	Pl+Loc	 njuunijn    	
15	Pl+Com	 njunijguin    	 njunijgijn    
16	Pl+Abe	 njunijttáá    	
	jare	Spelling_1	Spelling_2
1	Sg+Nom	 jare    	
2	Sg+Gen	 jare    	
3	Sg+Acc	 jare    	
4	Sg+Ill	 jaran    	
5	Sg+Loc	 jaareest    	
6	Sg+Com	 joorijn    	
7	Sg+Abe	 jarettáá    	
8	Ess	 jarreen    	
9	Par	 jarreed    	
10	Pl+Nom	 jareh    	
11	Pl+Gen	 jorij    	 joorij    
12	Pl+Acc	 joorijd    	
13	Pl+Ill	 joorijd    	
14	Pl+Loc	 joorijn    	
15	Pl+Com	 jorijguin    	 jorijgijn    
16	Pl+Abe	 jorijttáá    	
	kame	Spelling_1	Spelling_2
1	Sg+Nom	 kame    	
2	Sg+Gen	 kame    	
3	Sg+Acc	 kame    	
4	Sg+Ill	 kaman    	
5	Sg+Loc	 kaameest    	
6	Sg+Com	 koomijn    	
7	Sg+Abe	 kamettáá    	
8	Ess	 kammeen    	
9	Par	 kammeed    	
10	Pl+Nom	 kameh    	
11	Pl+Gen	 komij    	 koomij    
12	Pl+Acc	 koomijd    	
13	Pl+Ill	 koomijd    	
14	Pl+Loc	 koomijn    	
15	Pl+Com	 komijguin    	 komijgijn    
16	Pl+Abe	 komijttáá    	
	mane	Spelling_1	Spelling_2
1	Sg+Nom	 mane    	
2	Sg+Gen	 mane    	
3	Sg+Acc	 mane    	
4	Sg+Ill	 manan    	
5	Sg+Loc	 maaneest    	
6	Sg+Com	 moonijn    	
7	Sg+Abe	 manettáá    	
