	eeti	Spelling_1	Spelling_2
1	Sg+Nom	 eeti    	
2	Sg+Gen	 eđe    	
3	Sg+Acc	 eđe    	
4	Sg+Ill	 iätán    	
5	Sg+Loc	 eeđeest    	
6	Sg+Com	 eeđijn    	
7	Sg+Abe	 eđettáá    	
8	Ess	 eettin    	
9	Par	 eettid    	
10	Pl+Nom	 eđeh    	
11	Pl+Gen	 eđij    	 eeđij    
12	Pl+Acc	 eeđijd    	
13	Pl+Ill	 eeđijd    	
14	Pl+Loc	 eeđijn    	
15	Pl+Com	 eđijguin    	 eđijgijn    
16	Pl+Abe	 eđijttáá    	
	neepi	Spelling_1	Spelling_2
1	Sg+Nom	 neepi    	
2	Sg+Gen	 neve    	
3	Sg+Acc	 neve    	
4	Sg+Ill	 niäpán    	
5	Sg+Loc	 neeveest    	
6	Sg+Com	 neevijn    	
7	Sg+Abe	 nevettáá    	
8	Ess	 neeppin    	
9	Par	 neeppid    	
10	Pl+Nom	 neveh    	
11	Pl+Gen	 nevij    	 neevij    
12	Pl+Acc	 neevijd    	
13	Pl+Ill	 neevijd    	
14	Pl+Loc	 neevijn    	
15	Pl+Com	 nevijguin    	 nevijgijn    
16	Pl+Abe	 nevijttáá    	
	neeti	Spelling_1	Spelling_2
1	Sg+Nom	 neeti    	
2	Sg+Gen	 neđe    	
3	Sg+Acc	 neđe    	
4	Sg+Ill	 niätán    	
5	Sg+Loc	 neeđeest    	
6	Sg+Com	 neeđijn    	
7	Sg+Abe	 neđettáá    	
8	Ess	 neettin    	
9	Par	 neettid    	
10	Pl+Nom	 neđeh    	
11	Pl+Gen	 neđij    	 neeđij    
12	Pl+Acc	 neeđijd    	
13	Pl+Ill	 neeđijd    	
14	Pl+Loc	 neeđijn    	
15	Pl+Com	 neđijguin    	 neđijgijn    
16	Pl+Abe	 neđijttáá    	
	peeti	Spelling_1	Spelling_2
1	Sg+Nom	 peeti    	
2	Sg+Gen	 peđe    	
3	Sg+Acc	 peđe    	
4	Sg+Ill	 piätán    	
5	Sg+Loc	 peeđeest    	
6	Sg+Com	 peeđijn    	
7	Sg+Abe	 peđettáá    	
8	Ess	 peettin    	
9	Par	 peettid    	
10	Pl+Nom	 peđeh    	
11	Pl+Gen	 peđij    	 peeđij    
12	Pl+Acc	 peeđijd    	
13	Pl+Ill	 peeđijd    	
14	Pl+Loc	 peeđijn    	
15	Pl+Com	 peđijguin    	 peđijgijn    
16	Pl+Abe	 peđijttáá    	
