	peeli	Spelling_1	Spelling_2
1	Sg+Nom	 peeli    	
2	Sg+Gen	 pele    	
3	Sg+Acc	 pele    	
4	Sg+Ill	 piälán    	
5	Sg+Loc	 peeleest    	
6	Sg+Com	 peelijn    	
7	Sg+Abe	 pelettáá    	
8	Ess	 peellin    	
9	Par	 peellid    	
10	Pl+Nom	 peleh    	
11	Pl+Gen	 pelij    	 peelij    
12	Pl+Acc	 peelijd    	
13	Pl+Ill	 peelijd    	
14	Pl+Loc	 peelijn    	
15	Pl+Com	 pelijguin    	 pelijgijn    
16	Pl+Abe	 pelijttáá    	
	eemi	Spelling_1	Spelling_2
1	Sg+Nom	 eemi    	
2	Sg+Gen	 eme    	
3	Sg+Acc	 eme    	
4	Sg+Ill	 iämán    	
5	Sg+Loc	 eemeest    	
6	Sg+Com	 eemijn    	
7	Sg+Abe	 emettáá    	
8	Ess	 eemmin    	
9	Par	 eemmid    	
10	Pl+Nom	 emeh    	
11	Pl+Gen	 emij    	 eemij    
12	Pl+Acc	 eemijd    	
13	Pl+Ill	 eemijd    	
14	Pl+Loc	 eemijn    	
15	Pl+Com	 emijguin    	 emijgijn    
16	Pl+Abe	 emijttáá    	
	keeli	Spelling_1	Spelling_2
1	Sg+Nom	 keeli    	
2	Sg+Gen	 kele    	
3	Sg+Acc	 kele    	
4	Sg+Ill	 kiälán    	
5	Sg+Loc	 keeleest    	
6	Sg+Com	 keelijn    	
7	Sg+Abe	 kelettáá    	
8	Ess	 keellin    	
9	Par	 keellid    	
10	Pl+Nom	 keleh    	
11	Pl+Gen	 kelij    	 keelij    
12	Pl+Acc	 keelijd    	
13	Pl+Ill	 keelijd    	
14	Pl+Loc	 keelijn    	
15	Pl+Com	 kelijguin    	 kelijgijn    
16	Pl+Abe	 kelijttáá    	
	leeđi	Spelling_1	Spelling_2
1	Sg+Nom	 leeđi    	
2	Sg+Gen	 leđe    	
3	Sg+Acc	 leđe    	
4	Sg+Ill	 liäđán    	
5	Sg+Loc	 leeđeest    	
6	Sg+Com	 leeđijn    	
7	Sg+Abe	 leđettáá    	
8	Ess	 leeđđin    	
9	Par	 leeđđid    	
10	Pl+Nom	 leđeh    	
11	Pl+Gen	 leđij    	 leeđij    
12	Pl+Acc	 leeđijd    	
13	Pl+Ill	 leeđijd    	
14	Pl+Loc	 leeđijn    	
15	Pl+Com	 leđijguin    	 leđijgijn    
16	Pl+Abe	 leđijttáá    	
	leeji	Spelling_1	Spelling_2
1	Sg+Nom	 leeji    	
2	Sg+Gen	 leje    	
3	Sg+Acc	 leje    	
4	Sg+Ill	 liäján    	
5	Sg+Loc	 leejeest    	
6	Sg+Com	 leejijn    	
7	Sg+Abe	 lejettáá    	
8	Ess	 leeijin    	
9	Par	 leeijid    	
10	Pl+Nom	 lejeh    	
11	Pl+Gen	 lejij    	 leejij    
12	Pl+Acc	 leejijd    	
13	Pl+Ill	 leejijd    	
14	Pl+Loc	 leejijn    	
15	Pl+Com	 lejijguin    	 lejijgijn    
16	Pl+Abe	 lejijttáá    	
	meeli	Spelling_1	Spelling_2
1	Sg+Nom	 meeli    	
2	Sg+Gen	 mele    	
3	Sg+Acc	 mele    	
4	Sg+Ill	 miälán    	
5	Sg+Loc	 meeleest    	
6	Sg+Com	 meelijn    	
7	Sg+Abe	 melettáá    	
8	Ess	 meellin    	
9	Par	 meellid    	
10	Pl+Nom	 meleh    	
11	Pl+Gen	 melij    	 meelij    
12	Pl+Acc	 meelijd    	
13	Pl+Ill	 meelijd    	
14	Pl+Loc	 meelijn    	
15	Pl+Com	 melijguin    	 melijgijn    
16	Pl+Abe	 melijttáá    	
	meeri	Spelling_1	Spelling_2
1	Sg+Nom	 meeri    	
2	Sg+Gen	 mere    	
3	Sg+Acc	 mere    	
4	Sg+Ill	 miärán    	
5	Sg+Loc	 meereest    	
6	Sg+Com	 meerijn    	
7	Sg+Abe	 merettáá    	
8	Ess	 meerrin    	
9	Par	 meerrid    	
10	Pl+Nom	 mereh    	
11	Pl+Gen	 merij    	 meerij    
12	Pl+Acc	 meerijd    	
13	Pl+Ill	 meerijd    	
14	Pl+Loc	 meerijn    	
15	Pl+Com	 merijguin    	 merijgijn    
16	Pl+Abe	 merijttáá    	
	njeeri	Spelling_1	Spelling_2
1	Sg+Nom	 njeeri    	
2	Sg+Gen	 njere    	
3	Sg+Acc	 njere    	
4	Sg+Ill	 njiärán    	
5	Sg+Loc	 njeereest    	
6	Sg+Com	 njeerijn    	
7	Sg+Abe	 njerettáá    	
8	Ess	 njeerrin    	
9	Par	 njeerrid    	
10	Pl+Nom	 njereh    	
11	Pl+Gen	 njerij    	 njeerij    
12	Pl+Acc	 njeerijd    	
13	Pl+Ill	 njeerijd    	
14	Pl+Loc	 njeerijn    	
15	Pl+Com	 njerijguin    	 njerijgijn    
16	Pl+Abe	 njerijttáá    	
	peeđi	Spelling_1	Spelling_2
1	Sg+Nom	 peeđi    	
2	Sg+Gen	 peđe    	
3	Sg+Acc	 peđe    	
4	Sg+Ill	 piäđán    	
5	Sg+Loc	 peeđeest    	
6	Sg+Com	 peeđijn    	
7	Sg+Abe	 peđettáá    	
8	Ess	 peeđđin    	
9	Par	 peeđđid    	
10	Pl+Nom	 peđeh    	
11	Pl+Gen	 peđij    	 peeđij    
12	Pl+Acc	 peeđijd    	
13	Pl+Ill	 peeđijd    	
14	Pl+Loc	 peeđijn    	
15	Pl+Com	 peđijguin    	 peđijgijn    
16	Pl+Abe	 peđijttáá    	
	peeri	Spelling_1	Spelling_2
1	Sg+Nom	 peeri    	
2	Sg+Gen	 pere    	
3	Sg+Acc	 pere    	
4	Sg+Ill	 piärán    	
5	Sg+Loc	 peereest    	
6	Sg+Com	 peerijn    	
7	Sg+Abe	 perettáá    	
8	Ess	 peerrin    	
9	Par	 peerrid    	
10	Pl+Nom	 pereh    	
11	Pl+Gen	 perij    	 peerij    
12	Pl+Acc	 peerijd    	
13	Pl+Ill	 peerijd    	
14	Pl+Loc	 peerijn    	
15	Pl+Com	 perijguin    	 perijgijn    
16	Pl+Abe	 perijttáá    	
	seemi	Spelling_1	Spelling_2
1	Sg+Nom	 seemi    	
2	Sg+Gen	 seme    	
3	Sg+Acc	 seme    	
4	Sg+Ill	 siämán    	
5	Sg+Loc	 seemeest    	
6	Sg+Com	 seemijn    	
7	Sg+Abe	 semettáá    	
8	Ess	 seemmin    	
9	Par	 seemmid    	
10	Pl+Nom	 semeh    	
11	Pl+Gen	 semij    	 seemij    
12	Pl+Acc	 seemijd    	
