	sollâ	Spelling_1	Spelling_2
1	Sg+Nom	 sollâ    	
2	Sg+Gen	 soolâ    	
3	Sg+Acc	 soolâ    	
4	Sg+Ill	 soolân    	
5	Sg+Loc	 soolâst    	
6	Sg+Com	 sooláin    	
7	Sg+Abe	 solâttáá    	
8	Ess	 sollân    	
9	Par	 sollâd    	
10	Pl+Nom	 soolah    	
11	Pl+Gen	 solâi    	 soolâi    
12	Pl+Acc	 soolâid    	
13	Pl+Ill	 sooláid    	
14	Pl+Loc	 soolâin    	
15	Pl+Com	 solâiguin    	 solâigijn    
16	Pl+Abe	 solâittáá    	
	čiđđâ	Spelling_1	Spelling_2
1	Sg+Nom	 čiđđâ    	
2	Sg+Gen	 čiiđâ    	
3	Sg+Acc	 čiiđâ    	
4	Sg+Ill	 čiiđân    	
5	Sg+Loc	 čiiđâst    	
6	Sg+Com	 čiiđáin    	
7	Sg+Abe	 čiđâttáá    	
8	Ess	 čiđđân    	
9	Par	 čiđđâd    	
10	Pl+Nom	 čiiđah    	
11	Pl+Gen	 čiđâi    	 čiiđâi    
12	Pl+Acc	 čiiđâid    	
13	Pl+Ill	 čiiđáid    	
14	Pl+Loc	 čiiđâin    	
15	Pl+Com	 čiđâiguin    	 čiđâigijn    
16	Pl+Abe	 čiđâittáá    	
	čillâ	Spelling_1	Spelling_2
1	Sg+Nom	 čillâ    	
2	Sg+Gen	 čiilâ    	
3	Sg+Acc	 čiilâ    	
4	Sg+Ill	 čiilân    	
5	Sg+Loc	 čiilâst    	
6	Sg+Com	 čiiláin    	
7	Sg+Abe	 čilâttáá    	
8	Ess	 čillân    	
9	Par	 čillâd    	
10	Pl+Nom	 čiilah    	
11	Pl+Gen	 čilâi    	 čiilâi    
12	Pl+Acc	 čiilâid    	
13	Pl+Ill	 čiiláid    	
14	Pl+Loc	 čiilâin    	
15	Pl+Com	 čilâiguin    	 čilâigijn    
16	Pl+Abe	 čilâittáá    	
	čimmâ	Spelling_1	Spelling_2
1	Sg+Nom	 čimmâ    	
2	Sg+Gen	 čiimâ    	
3	Sg+Acc	 čiimâ    	
4	Sg+Ill	 čiimân    	
5	Sg+Loc	 čiimâst    	
6	Sg+Com	 čiimáin    	
7	Sg+Abe	 čimâttáá    	
8	Ess	 čimmân    	
9	Par	 čimmâd    	
10	Pl+Nom	 čiimah    	
11	Pl+Gen	 čimâi    	 čiimâi    
12	Pl+Acc	 čiimâid    	
13	Pl+Ill	 čiimáid    	
14	Pl+Loc	 čiimâin    	
15	Pl+Com	 čimâiguin    	 čimâigijn    
16	Pl+Abe	 čimâittáá    	
	čiŋŋâ	Spelling_1	Spelling_2
1	Sg+Nom	 čiŋŋâ    	
2	Sg+Gen	 čiiŋâ    	
3	Sg+Acc	 čiiŋâ    	
4	Sg+Ill	 čiiŋân    	
5	Sg+Loc	 čiiŋâst    	
6	Sg+Com	 čiiŋáin    	
