	juucâ	Spelling_1	Spelling_2
1	Sg+Nom	 juucâ    	
2	Sg+Gen	 juusâ    	
3	Sg+Acc	 juusâ    	
4	Sg+Ill	 juucân    	
5	Sg+Loc	 juusâst    	
6	Sg+Com	 jussáin    	
7	Sg+Abe	 jusâttáá    	
8	Ess	 juuccân    	
9	Par	 juuccâd    	
10	Pl+Nom	 juusah    	
11	Pl+Gen	 jusâi    	 juusâi    
12	Pl+Acc	 juusâid    	
13	Pl+Ill	 jussáid    	
14	Pl+Loc	 juusâin    	
15	Pl+Com	 jusâiguin    	 jusâigijn    
16	Pl+Abe	 jusâittáá    	
	čaacâ	Spelling_1	Spelling_2
1	Sg+Nom	 čaacâ    	
2	Sg+Gen	 čaasâ    	
3	Sg+Acc	 čaasâ    	
4	Sg+Ill	 čaacân    	
5	Sg+Loc	 čaasâst    	
6	Sg+Com	 čassáin    	
7	Sg+Abe	 časâttáá    	
8	Ess	 čaaccân    	
9	Par	 čaaccâd    	
10	Pl+Nom	 čaasah    	
11	Pl+Gen	 časâi    	 čaasâi    
12	Pl+Acc	 čaasâid    	
13	Pl+Ill	 čassáid    	
14	Pl+Loc	 čaasâin    	
15	Pl+Com	 časâiguin    	 časâigijn    
16	Pl+Abe	 časâittáá    	
