	váddu	Spelling_1	Spelling_2
1	Sg+Nom	 váddu    	
2	Sg+Gen	 váádu    	
3	Sg+Acc	 váádu    	
4	Sg+Ill	 váádun    	
5	Sg+Loc	 váádust    	
6	Sg+Com	 váddoin    	
7	Sg+Abe	 váduttáá    	
8	Ess	 váddun    	
9	Par	 váddud    	
10	Pl+Nom	 vááduh    	
11	Pl+Gen	 vádui    	 váádui    
12	Pl+Acc	 vááduid    	
13	Pl+Ill	 váddoid    	
14	Pl+Loc	 vááduin    	
15	Pl+Com	 váduiguin    	 váduigijn    
16	Pl+Abe	 váduittáá    	
	káddu	Spelling_1	Spelling_2
1	Sg+Nom	 káddu    	
2	Sg+Gen	 káádu    	
3	Sg+Acc	 káádu    	
4	Sg+Ill	 káádun    	
5	Sg+Loc	 káádust    	
6	Sg+Com	 káddoin    	
7	Sg+Abe	 káduttáá    	
8	Ess	 káddun    	
9	Par	 káddud    	
10	Pl+Nom	 kááduh    	
11	Pl+Gen	 kádui    	 káádui    
12	Pl+Acc	 kááduid    	
13	Pl+Ill	 káddoid    	
14	Pl+Loc	 kááduin    	
15	Pl+Com	 káduiguin    	 káduigijn    
16	Pl+Abe	 káduittáá    	
	kákku	Spelling_1	Spelling_2
1	Sg+Nom	 kákku    	
2	Sg+Gen	 kááhu    	
3	Sg+Acc	 kááhu    	
4	Sg+Ill	 káákun    	
5	Sg+Loc	 kááhust    	
6	Sg+Com	 káhhoin    	
7	Sg+Abe	 káhuttáá    	
8	Ess	 kákkun    	
9	Par	 kákkud    	
10	Pl+Nom	 kááhuh    	
11	Pl+Gen	 káhui    	 kááhui    
12	Pl+Acc	 kááhuid    	
13	Pl+Ill	 káhhoid    	
14	Pl+Loc	 kááhuin    	
15	Pl+Com	 káhuiguin    	 káhuigijn    
16	Pl+Abe	 káhuittáá    	
	káttu	Spelling_1	Spelling_2
1	Sg+Nom	 káttu    	
2	Sg+Gen	 káátu    	
3	Sg+Acc	 káátu    	
4	Sg+Ill	 káátun    	
5	Sg+Loc	 káátust    	
6	Sg+Com	 káttoin    	
7	Sg+Abe	 kátuttáá    	
8	Ess	 káttun    	
9	Par	 káttud    	
10	Pl+Nom	 káátuh    	
11	Pl+Gen	 kátui    	 káátui    
12	Pl+Acc	 káátuid    	
13	Pl+Ill	 káttoid    	
14	Pl+Loc	 káátuin    	
15	Pl+Com	 kátuiguin    	 kátuigijn    
16	Pl+Abe	 kátuittáá    	
	láddu	Spelling_1	Spelling_2
1	Sg+Nom	 láddu    	
2	Sg+Gen	 láádu    	
3	Sg+Acc	 láádu    	
4	Sg+Ill	 láádun    	
5	Sg+Loc	 láádust    	
6	Sg+Com	 láddoin    	
7	Sg+Abe	 láduttáá    	
8	Ess	 láddun    	
9	Par	 láddud    	
10	Pl+Nom	 lááduh    	
11	Pl+Gen	 ládui    	 láádui    
12	Pl+Acc	 lááduid    	
13	Pl+Ill	 láddoid    	
14	Pl+Loc	 lááduin    	
15	Pl+Com	 láduiguin    	 láduigijn    
16	Pl+Abe	 láduittáá    	
	láppu	Spelling_1	Spelling_2
1	Sg+Nom	 láppu    	
2	Sg+Gen	 láápu    	
3	Sg+Acc	 láápu    	
4	Sg+Ill	 láápun    	
5	Sg+Loc	 láápust    	
6	Sg+Com	 láppoin    	
7	Sg+Abe	 láputtáá    	
8	Ess	 láppun    	
9	Par	 láppud    	
10	Pl+Nom	 láápuh    	
11	Pl+Gen	 lápui    	 láápui    
12	Pl+Acc	 láápuid    	
13	Pl+Ill	 láppoid    	
14	Pl+Loc	 láápuin    	
15	Pl+Com	 lápuiguin    	 lápuigijn    
16	Pl+Abe	 lápuittáá    	
	máttu	Spelling_1	Spelling_2
1	Sg+Nom	 máttu    	
2	Sg+Gen	 máátu    	
3	Sg+Acc	 máátu    	
4	Sg+Ill	 máátun    	
5	Sg+Loc	 máátust    	
6	Sg+Com	 máttoin    	
7	Sg+Abe	 mátuttáá    	
8	Ess	 máttun    	
9	Par	 máttud    	
10	Pl+Nom	 máátuh    	
11	Pl+Gen	 mátui    	 máátui    
12	Pl+Acc	 máátuid    	
13	Pl+Ill	 máttoid    	
14	Pl+Loc	 máátuin    	
15	Pl+Com	 mátuiguin    	 mátuigijn    
16	Pl+Abe	 mátuittáá    	
	nággu	Spelling_1	Spelling_2
1	Sg+Nom	 nággu    	
2	Sg+Gen	 náágu    	
3	Sg+Acc	 náágu    	
4	Sg+Ill	 náágun    	
5	Sg+Loc	 náágust    	
6	Sg+Com	 nággoin    	
7	Sg+Abe	 náguttáá    	
8	Ess	 nággun    	
9	Par	 nággud    	
10	Pl+Nom	 nááguh    	
11	Pl+Gen	 nágui    	 náágui    
12	Pl+Acc	 nááguid    	
13	Pl+Ill	 nággoid    	
14	Pl+Loc	 nááguin    	
15	Pl+Com	 náguiguin    	 náguigijn    
16	Pl+Abe	 náguittáá    	
	pággu	Spelling_1	Spelling_2
1	Sg+Nom	 pággu    	
2	Sg+Gen	 páágu    	
3	Sg+Acc	 páágu    	
4	Sg+Ill	 páágun    	
5	Sg+Loc	 páágust    	
6	Sg+Com	 pággoin    	
7	Sg+Abe	 páguttáá    	
8	Ess	 pággun    	
9	Par	 pággud    	
10	Pl+Nom	 pááguh    	
11	Pl+Gen	 págui    	 páágui    
12	Pl+Acc	 pááguid    	
13	Pl+Ill	 pággoid    	
14	Pl+Loc	 pááguin    	
15	Pl+Com	 páguiguin    	 páguigijn    
16	Pl+Abe	 páguittáá    	
	smákku	Spelling_1	Spelling_2
1	Sg+Nom	 smákku    	
2	Sg+Gen	 smááhu    	
3	Sg+Acc	 smááhu    	
4	Sg+Ill	 smáákun    	
5	Sg+Loc	 smááhust    	
6	Sg+Com	 smáhhoin    	
7	Sg+Abe	 smáhuttáá    	
8	Ess	 smákkun    	
9	Par	 smákkud    	
10	Pl+Nom	 smááhuh    	
11	Pl+Gen	 smááhui    	 smáhui    
12	Pl+Acc	 smááhuid    	
13	Pl+Ill	 smáhhoid    	
14	Pl+Loc	 smááhuin    	
15	Pl+Com	 smáhuiguin    	 smáhuigijn    
16	Pl+Abe	 smáhuittáá    	
	stággu	Spelling_1	Spelling_2
1	Sg+Nom	 stággu    	
2	Sg+Gen	 stáágu    	
3	Sg+Acc	 stáágu    	
4	Sg+Ill	 stáágun    	
5	Sg+Loc	 stáágust    	
6	Sg+Com	 stággoin    	
7	Sg+Abe	 stáguttáá    	
8	Ess	 stággun    	
9	Par	 stággud    	
10	Pl+Nom	 stááguh    	
11	Pl+Gen	 stágui    	 stáágui    
12	Pl+Acc	 stááguid    	
13	Pl+Ill	 stággoid    	
14	Pl+Loc	 stááguin    	
15	Pl+Com	 stáguiguin    	 stáguigijn    
16	Pl+Abe	 stáguittáá    	
	sákku	Spelling_1	Spelling_2
1	Sg+Nom	 sákku    	
2	Sg+Gen	 sááhu    	
3	Sg+Acc	 sááhu    	
4	Sg+Ill	 sáákun    	
5	Sg+Loc	 sááhust    	
6	Sg+Com	 sáhhoin    	
7	Sg+Abe	 sáhuttáá    	
8	Ess	 sákkun    	
9	Par	 sákkud    	
10	Pl+Nom	 sááhuh    	
11	Pl+Gen	 sáhui    	 sááhui    
12	Pl+Acc	 sááhuid    	
13	Pl+Ill	 sáhhoid    	
14	Pl+Loc	 sááhuin    	
15	Pl+Com	 sáhuiguin    	 sáhuigijn    
16	Pl+Abe	 sáhuittáá    	
	sáttu	Spelling_1	Spelling_2
1	Sg+Nom	 sáttu    	
2	Sg+Gen	 sáátu    	
3	Sg+Acc	 sáátu    	
4	Sg+Ill	 sáátun    	
5	Sg+Loc	 sáátust    	
6	Sg+Com	 sáttoin    	
7	Sg+Abe	 sátuttáá    	
8	Ess	 sáttun    	
9	Par	 sáttud    	
10	Pl+Nom	 sáátuh    	
11	Pl+Gen	 sátui    	 sáátui    
12	Pl+Acc	 sáátuid    	
13	Pl+Ill	 sáttoid    	
14	Pl+Loc	 sáátuin    	
15	Pl+Com	 sátuiguin    	 sátuigijn    
16	Pl+Abe	 sátuittáá    	
	tákku	Spelling_1	Spelling_2
1	Sg+Nom	 tákku    	
2	Sg+Gen	 tááhu    	
3	Sg+Acc	 tááhu    	
4	Sg+Ill	 táákun    	
5	Sg+Loc	 tááhust    	
6	Sg+Com	 táhhoin    	
7	Sg+Abe	 táhuttáá    	
8	Ess	 tákkun    	
9	Par	 tákkud    	
10	Pl+Nom	 tááhuh    	
11	Pl+Gen	 tááhui    	 táhui    
12	Pl+Acc	 tááhuid    	
13	Pl+Ill	 táhhoid    	
14	Pl+Loc	 tááhuin    	
15	Pl+Com	 táhuiguin    	 táhuigijn    
16	Pl+Abe	 táhuittáá    	
	táppu	Spelling_1	Spelling_2
1	Sg+Nom	 táppu    	
