	vuággu	Spelling_1	Spelling_2
1	Sg+Nom	 vuággu    	
2	Sg+Gen	 vuágu    	
3	Sg+Acc	 vuágu    	
4	Sg+Ill	 vuágun    	
5	Sg+Loc	 vuágust    	
6	Sg+Com	 vuággoin    	
7	Sg+Abe	 vuáguttáá    	
8	Ess	 vuággun    	
9	Par	 vuággud    	
10	Pl+Nom	 vuáguh    	
11	Pl+Gen	 vuágui    	
12	Pl+Acc	 vuáguid    	
13	Pl+Ill	 vuággoid    	
14	Pl+Loc	 vuáguin    	
15	Pl+Com	 vuáguiguin    	 vuáguigijn    
16	Pl+Abe	 vuáguittáá    	
	fiärttu	Spelling_1	Spelling_2
1	Sg+Nom	 fiärttu    	
2	Sg+Gen	 fiärtu    	
3	Sg+Acc	 fiärtu    	
4	Sg+Ill	 fiärtun    	
5	Sg+Loc	 fiärtust    	
6	Sg+Com	 fiärttoin    	
7	Sg+Abe	 fiärtuttáá    	
8	Ess	 fiärttun    	
9	Par	 fiärttud    	
10	Pl+Nom	 fiärtuh    	
11	Pl+Gen	 fiärtui    	
12	Pl+Acc	 fiärtuid    	
13	Pl+Ill	 fiärttoid    	
14	Pl+Loc	 fiärtuin    	
15	Pl+Com	 fiärtuiguin    	 fiärtuigijn    
16	Pl+Abe	 fiärtuittáá    	
	fiättu	Spelling_1	Spelling_2
1	Sg+Nom	 fiättu    	
2	Sg+Gen	 fiätu    	
3	Sg+Acc	 fiätu    	
4	Sg+Ill	 fiätun    	
5	Sg+Loc	 fiätust    	
6	Sg+Com	 fiättoin    	
7	Sg+Abe	 fiätuttáá    	
8	Ess	 fiättun    	
9	Par	 fiättud    	
10	Pl+Nom	 fiätuh    	
11	Pl+Gen	 fiätui    	
12	Pl+Acc	 fiätuid    	
13	Pl+Ill	 fiättoid    	
14	Pl+Loc	 fiätuin    	
15	Pl+Com	 fiätuiguin    	 fiätuigijn    
16	Pl+Abe	 fiätuittáá    	
	fiävru	Spelling_1	Spelling_2
1	Sg+Nom	 fiävru    	
2	Sg+Gen	 fiävru    	
3	Sg+Acc	 fiävru    	
4	Sg+Ill	 fiävrun    	
5	Sg+Loc	 fiävrust    	
6	Sg+Com	 fiävroin    	
7	Sg+Abe	 fiävruttáá    	
8	Ess	 fiävrun    	
9	Par	 fiävrud    	
10	Pl+Nom	 fiävruh    	
11	Pl+Gen	 fiävrui    	
12	Pl+Acc	 fiävruid    	
13	Pl+Ill	 fiävroid    	
14	Pl+Loc	 fiävruin    	
15	Pl+Com	 fiävruiguin    	 fiävruigijn    
16	Pl+Abe	 fiävruittáá    	
	hiäimu	Spelling_1	Spelling_2
1	Sg+Nom	 hiäimu    	
2	Sg+Gen	 hiäimu    	
3	Sg+Acc	 hiäimu    	
4	Sg+Ill	 hiäimun    	
5	Sg+Loc	 hiäimust    	
