	máátu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 máátu    			
2	Sg+Gen	 máđo    	 mááđu    		
3	Sg+Acc	 máđo    	 mááđu    		
4	Sg+Ill	 máátun    			
5	Sg+Loc	 mááđoost    	 mááđust    		
6	Sg+Com	 mááđoin    	 mááđooin    		
7	Sg+Abe	 máđottáá    	 máđuttáá    		
8	Ess	 mááttun    			
9	Par	 mááttud    			
10	Pl+Nom	 máđoh    	 mááđuh    		
11	Pl+Gen	 máđoi    	 máđui    	 mááđui    	
12	Pl+Acc	 mááđoid    	 mááđuid    		
13	Pl+Ill	 mááđooid    	 mááđoid    		
14	Pl+Loc	 máđoin    	 mááđuin    		
15	Pl+Com	 máđoiguin    	 máđoigijn    	 máđuiguin    	 máđuigijn    
16	Pl+Abe	 máđoittáá    	 máđuittáá    		
	káátu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 káátu    			
2	Sg+Gen	 káđo    	 kááđu    		
3	Sg+Acc	 káđo    	 kááđu    		
4	Sg+Ill	 káátun    			
5	Sg+Loc	 kááđust    	 kááđoost    		
6	Sg+Com	 kááđoin    	 kááđooin    		
7	Sg+Abe	 káđuttáá    	 káđottáá    		
8	Ess	 kááttun    			
9	Par	 kááttud    			
10	Pl+Nom	 káđoh    	 kááđuh    		
11	Pl+Gen	 káđui    	 káđoi    	 kááđui    	
12	Pl+Acc	 kááđuid    	 kááđoid    		
13	Pl+Ill	 kááđooid    	 kááđoid    		
14	Pl+Loc	 káđoin    	 kááđuin    		
15	Pl+Com	 káđuiguin    	 káđuigijn    	 káđoiguin    	 káđoigijn    
16	Pl+Abe	 káđuittáá    	 káđoittáá    		
	láátu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 láátu    			
2	Sg+Gen	 láđo    	 lááđu    		
3	Sg+Acc	 láđo    	 lááđu    		
4	Sg+Ill	 láátun    			
5	Sg+Loc	 lááđoost    	 lááđust    		
6	Sg+Com	 lááđoin    	 lááđooin    		
7	Sg+Abe	 láđottáá    	 láđuttáá    		
8	Ess	 lááttun    			
9	Par	 lááttud    			
10	Pl+Nom	 láđoh    	 lááđuh    		
11	Pl+Gen	 láđoi    	 láđui    	 lááđui    	
12	Pl+Acc	 lááđoid    	 lááđuid    		
13	Pl+Ill	 lááđooid    	 lááđoid    		
14	Pl+Loc	 láđoin    	 lááđuin    		
15	Pl+Com	 láđoiguin    	 láđoigijn    	 láđuiguin    	 láđuigijn    
16	Pl+Abe	 láđoittáá    	 láđuittáá    		
	máášu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 máášu    			
2	Sg+Gen	 mášo    	 máášu    		
3	Sg+Acc	 mášo    	 máášu    		
4	Sg+Ill	 máášun    			
5	Sg+Loc	 máášust    	 máášoost    		
6	Sg+Com	 máášoin    	 máášooin    		
7	Sg+Abe	 mášuttáá    	 mášottáá    		
8	Ess	 mááššun    			
9	Par	 mááššud    			
10	Pl+Nom	 mášoh    	 máášuh    		
11	Pl+Gen	 mášui    	 mášoi    	 máášui    	
12	Pl+Acc	 máášuid    	 máášoid    		
13	Pl+Ill	 máášooid    	 máášoid    		
14	Pl+Loc	 mášoin    	 máášuin    		
15	Pl+Com	 mášuiguin    	 mášuigijn    	 mášoiguin    	 mášoigijn    
16	Pl+Abe	 mášuittáá    	 mášoittáá    		
	páápu	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 páápu    			
