[eebir: iäbbár , iäbbárân , iäbbárist , iäbbáráin
[kaamâ: kaamuv] , kammuu , kammui , kammust , kammuin
kyever: kyeppir , kyepirân , kyepirist , kyepiráin
[kápulâh: kápuluh, kápuloh] , kápuluv , kápulâhân , [kápuluvâst, kápuluvvâst] , [kápuluváin, kápuluvváin]
puárui: porruu , porrui , porrust , porruin
suálui: suolluu , suollui , suollust , suolluin
aabis : aabisáin, aabisist, aabisân, aabis
aagaat : agattáin, agattist, agattân, aagaat
aaigâ : aiguin, aigust, aigui, aiguu
aajâ : aijuin, aijust, aijui, aijuu
aaleem : alemáin, alemist, alemân, aaleem
aalgâ : alguin, algust, algui, alguu
aalmug : aalmugáin, aalmugist, aalmugân, aalmug
aalmug : almugáin, almugist, almugân, aalmug
aalmugmaainâs : aalmugmainâsáin, aalmugmainâsist, aalmugmainâsân, aalmugmainâs
aalmugovdâsteijee : aalmugovdâsteijein, aalmugovdâsteijest, aalmugovdâsteijei, aalmugovdâsteijee
aamnâs : amnâsáin, amnâsist, amnâsân, amnâs
aanaar : anaráin, anarist, anarân, aanaar
aareest : arestáin, arestist, arestân, aareest
aari : aarijn, aarist, aarin, aari
aarni : aarnijn, aarnist, aarnin, aarni
aarnik : arnikkáin, arnikkist, arnikkân, aarnik
aarnik : arnikáin, arnikist, arnikân, aarnik
aarrân : arânáin, arânist, arânân, aarrân
aasi : aasijn, aasist, aasin, aasi
aassâm : asâmáin, asâmist, asâmân, aassâm
aasâg : asâgáin, asâgist, asâgân, assâg
aatoom : atomáin, atomist, atomân, aatoom
aavis : aavisáin, aavisist, aavisân, aavis
aaštâ : aštuin, aštust, aštui, aštuu
aaštân : aštânáin, aštânist, aštânân, aštân
abiturient : abiturientáin, abiturientist, abiturientân, abiturient
accee : accein, accest, accei, accee
adjektiiv : adjektiiváin, adjektiivist, adjektiivân, adjektiiv
adoptio : adoptioin, adoptiost, adoption, adoptio
advent : adventáin, adventist, adventân, advent
aforism : aforismáin, aforismist, aforismân, aforism
ahe : ovvijn, avveest, ahan, ave
aiccâm : aiccâmáin, aiccâmist, aiccâmân, aiccâm
aiccâmorgaan : aiccâmorgaanáin, aiccâmorgaanist, aiccâmorgaanân, aiccâmorgaan
aiccâmuš : aiccâmuššáin, aiccâmušâst, aiccâmušân, aiccâmuš
aikkâ : aiháin, aaihâst, aaikân, aaihâ
aitârdeijee : aitârdeijein, aitârdeijest, aitârdeijei, aitârdeijee
akkulyeđejeijee : akkulyeđejeijein, akkulyeđejeijest, akkulyeđejeijei, akkulyeđejeijee
akleija : akleijain, akleijast, akleijan, akleija
aksel : akseláin, akselist, akselân, aksel
akustiik : akustiikáin, akustiikist, akustiikân, akustiik
aladâs : aladâssáin, aladâsâst, aladâsân, aladâs
algaaš : algaa , [algažân, algaažân] , algaast , algain
algaaš : algain algaast algažân algaa
alge : alge , aalgan , algeest , olgijn
alge : olgijn, algeest, aalgan, alge
alghuuvsâš : alghuuvsáin, alghuuvsáást, alghuuvsâžân, alghuuvsáá
algâ : aalgâ , aalgân , aalgâst , algáin
algâ : algáin, aalgâst, aalgân, aalgâ
algâaamnâs : algâamnâsáin, algâamnâsist, algâamnâsân, algâamnâs
algâjalgejeijee : algâjalgejeijein, algâjalgejeijest, algâjalgejeijei, algâjalgejeijee
algâttellee : algâttellein, algâttellest, algâttellei, algâttellee
algâttâs : algâttâssáin, algâttâsâst, algâttâsân, algâttâs
algâässee : algâässein, algâässest, algâässei, algâässee
alkaal : alkaaláin, alkaalist, alkaalân, alkaal
alkkuuvsâš : alkkuuvsáin, alkkuuvsáást, alkkuuvsâžân, alkkuuvsáá
alkohol : alkoholáin, alkoholist, alkoholân, alkohol
alkoholist : alkoholistáin, alkoholistist, alkoholistân, alkoholist
allergia : allergiain, allergiast, allergian, allergia
almai : almaa , [almai, almajân] , almast , almain
almai : almain, almast, almai / almajân, almaa
almaš : almaažii , almaažân , almaažiist , almaažáin
alme : alme , aalman , almeest , olmijn
alme : olmijn,almeest,aalman,alme,
almoon : almonáin, almonist, almonân, almoon
almostittem : almostitmáin, almostitmist, almostitmân, almostittem
almottâs : almottâssáin, almottâsâst, almottâsân, almottâs
alttar : alttaráin, alttarist, alttarân, alttar
alttâr : alttâráin, alttârist, alttârân, alttâr
alumin : alumináin, aluminist, aluminân, alumin
ambassaad : ambassaadijn, ambassaadist, ambassaadin, ambassaad
ametist : ametistáin, ametistist, ametistân, ametist
amiraal : amiraaláin, amiraalist, amiraalân, amiraal
amnâsmolsom : amnâsmolsomáin, amnâsmolsomist, amnâsmolsomân, amnâsmolsom
analyys : analyysáin, analyysist, analyysân, analyys
anarâš : anarâššáin, anarâšâst, anarâšân, anarâš
anten : antenáin, antenist, antenân, anten
antibioot : antibiootáin, antibiootist, antibiootân, antibioot
antiik : antiikáin, antiikist, antiikân, antiik
apatiit : apatiitijn, apatiitist, apatiitin, apatiit
apina : apinain, apinast, apinan, apina
apostol : apostoláin, apostolist, apostolân, apostol
appelsin : appelsináin, appelsinist, appelsinân, appelsin
aptattâs : aptattâssáin, aptattâsâst, aptattâsân, aptattâs
apteek : apteekáin, apteekist, apteekân, apteek
argâ : argáin, aargâst, aargân, aargâ
arkkiteht : arkkitehtáin, arkkitehtist, arkkitehtân, arkkiteht
arseen : arseenáin, arseenist, arseenân, arseen
artikkâl : artikkâláin, artikkâlist, artikkâlân, artikkâl
artist : artistáin, artistist, artistân, artist
asfalt : asfaltáin, asfaltist, asfaltân, asfalt
askadâs : askadâssáin, askadâsâst, askadâsân, askadâs
aske : aske , aaskan , askeest , oskijn
aske : oskijn, askeest, aaskan, aske 
asker : askeráin, askerist, askerân, asker
assimilaatio : assimilaatioin, assimilaatiost, assimilaation, assimilaatio
assistent : assistentáin, assistentist, assistentân, assistent
aster : asteráin, asterist, asterân, aster
asto : asto , aaston , astoost , astoin
asto : astoin,astoost,aaston,asto,
astronaut : astronautáin, astronautist, astronautân, astronaut
asâttâs : asâttâssáin, asâttâsâst, asâttâsân, asâttâs
atâštâs : atâštâssáin, atâštâsâst, atâštâsân, atâštâs
auto : autoin, autost, auton, auto
autonomia : autonomiain, autonomiast, autonomian, autonomia
avoset : avosetáin, avosetist, avosetân, avoset
avra : avra , aavran , avraast , avrain
avra : avrain, avraast, aavran, avra
avra : avrain, avrast, avran, avra
avram : avraamáin, avraamist, avraamân, avram
avâštâs : avâštâssáin, avâštâsâst, avâštâsân, avâštâs
avžuuttâs : avžuuttâssáin, avžuuttâsâst, avžuuttâsân, avžuuttâs
aŋgerias : aŋgeriasáin, aŋgeriasist, aŋgeriasân, aŋgerias
aččinj : aččinjáin, aččinjist, aččinjân, aččinj
baanaan : bananáin, bananist, bananân, baanaan
baari : baarijn, baarist, baarin, baari
baarook : barokáin, barokist, barokân, baarook
baarook : barokkáin, barokkist, barokkân, baarook
bakteer : bakteeráin, bakteerist, bakteerân, bakteer
balkan : balkanáin, balkanist, balkanân, balkan
bauksit : bauksitáin, bauksitist, bauksitân, bauksit
beetoon : betonáin, betonist, betonân, beetoon
bensin : bensináin, bensinist, bensinân, bensin
biologia : biologiain, biologiast, biologian, biologia
budjet : budjetáin, budjetist, budjetân, budjet
bulevard : bulevardáin, bulevardist, bulevardân, bulevard
ceelhâ : celkkuin, celkkust, celkkui, celkkuu
ciepâs : cieppâsáin, cieppâsist, cieppâsân, cieppâs
ciirgâs : cirgâsáin, cirgâsist, cirgâsân, cirgâs
ciirrân : cirânáin, cirânist, cirânân, ciirrân
