
Nom		Gen		Ill		Loc		Com		Ess		lexc:

rr		rr		r7		r7		r7		r7		aarrân
ll		ll		l7		l7		l7		l7		čäällim
mm		mm		m7		m7		m7		m7		immeel, ráámmát
šš		šš		š7		š7		š7		š7		iššeed
nnj		nnj		n7j		n7j		n7j		n7j		vinnjooh
tt		tt		t		t		t		t		viettâr
gg		gg		g		g		g		g		piäggálm
pp		pp		p		p		p		p		kappeer, suoppâin
hh		hh		h		h		h		h		čohhoom, kahhaan
cc		cc		c		c		c		c		mááccuh
bb		bb		b		b		b		b		tubbáák


vv		hh		h		h		h		v7/h	jäävvil

r7		r7		rr		rr		rr		rr		väṛidem
v7		v7		vv		vv		vv		vv		čuovânem
s7		s7		ss		ss		ss		ss		laṣanem
p		p		pp		pp		pp		pp		kepidem

v7		pˊp		p		p		p		vv/p	čeve
v7		hh		h		h		h		v7		naṿer, pooṿij
v7		hˊh		h		h		h		h		pooṿij
v7		h		h		h		h		v7		kääṿir

v		pp		p		p		p		p		kye´ver, päävir, čavos
m		mm		m7		m7		m7		m7		lyeme
s		ss		s7		s7		s7		s7		riesâ
j		ij		j7		j7		j7		j7		saˊjos, vaajâs
l		ll		l7		l7		l7		l7		kielâs
r		rr		r7		r7		r7		r7		kiärun
n		nn		n7		n7		n7		n7		ruonâs

đ		đđ		đđ		đđ		đđ		đ7		skoođâs
n		nn		nn		nn		nn		n7		ruonâs, peenuv
m		mm		mm		mm		mm		m7		kaamuv/kaamâ
r		rr		rr		rr		rr		r7		kiirâs
r		rr		rr		rr		rr		r/rr	puárui
s		cc		cc		cc		cc		s / cc	puásui
đ		tt		tˊt		tˊt		tˊt		đ		njuođâs t4
đ		đđ		đđ		đđ		đđ		đ		oođâ
g		gg		gg		gg		gg		g		raagâs
g		gˊg		gˊg		gˊg		gˊg		g		riegis, čyegis
b		bb		bb		bb		bb		b		lääbis
p		pˊp		pˊp		pˊp		pˊp		p /pˊp	čiepâs, kiepâ
b		bˊb		bˊb		bˊb		bˊb		b /bˊb	eebir, cuábui
t		tˊt		tˊt		tˊt		tˊt		t		muotâ
l7		lˊl		lˊl		lˊl		lˊl		l7		kuáḷus
l		lˊl		lˊl		lˊl		lˊl		l /lˊl 	suálui
vt		ht		ht		ht		ht		vt		piivtâs
vs		ks		ks		ks		ks		vs		poovsâ
vs		kˊs		kˊs		kˊs		kˊs		vs/kˊs	kuávsui
vč		hč		hč		hč		hč		vč		njuovčâ
sk		sˊk		sˊk		sˊk		sˊk		sk/sˊk	veeskir





