jäVri	jäävri	jáávrán	jäävrist	jaVrijn	jävrittáá	jäVrin	jäävrih	jaavrij javrij	jaavrijd	jaVrijd	jaavrijn	javrijguin	javrijttáá		T	järvi	ä_i	
täSni	tääsni	táásnán	tääsnist	taSnijn	täsnittáá	täSnin	tääsnih	taasnij tasnij	taasnijd	taSnijd	taasnijn	tasnijguin	tasnijttáá		T	tähti	ä_i	
njäLmi	njäälmi	njáálmán	njäälmist	njaLmijn	njälmittáá	njäLmin	njäälmih	njaalmij njalmij	njaalmijd	njaLmijd	njaalmijn	njalmijguin	njalmijttáá		T	suu	ä_i	
läHji	läähji	lááhján	läähjist	laHjijn	lähjittáá	läHjin	läähjih	laahjij lahjij	laahjijd	laHjijd	laahijin	lahjijguin	lahjijttáá		T	lahja	ä_i	
säppi	sääpi	sáápán	sääpist	sappijn	säpittáá	säppin	sääpih	saapij sapij	saapijd	sappijd	saapijn	sapijguin	sapijttáá		T	mehu	ä_i	
välli	vääLi	vááLán	väälist	vallijn	väLittáá	vällin	vääLih	vaaLij vaLij	vaaLijd	vallijd	vaaLijn	vaLijguin	vaLijttáá		T	haukka	ä_i	
päddi	päädi	páádán	päädist	paddijn	pädittáá	päddin	päädih	paadij padij	paadijd	paddijd	paadijn	padijguin	padijttáá		T	naru	ä_i	
päkki	päähi	páákán	päähist	pahhijn	pähittáá	päkkin	päähih	paahij pahij	paahijd	pahhijd	paahijn	pahijguin	pahijttáá		T	pahka	ä_i	
mecci	meeci	miäcán	meecist	meccijn	mecittáá	meccin	meecih	meecij	meecijd	meccijd	meecijn	mecijguin	mecijttáá		T	metsä	e_i	
mätki	määđhi	máátkán	määđhist	maĐhijn	mäđhittáá	mätkin	määđhih	maađhij mađhij	maađhijd	maĐhijd	maađhijn	mađhijguin	mađhijttáá		T	matka	ä_i	
pähti	päävti	pááhtán	päävtist	pavttijn	pävtittáá	pähtin	päävtih	paavtij pavtij	paavtijd	pavttijd	paavtijn	pavtijguin	pavtijttáá		T 	pahta	ä_i	
tähti	täävti	tááhtán	täävtist	tavttijn	tävtittáá	tähtin	täävtih	taavtij tavtij	taavtijd	tavttjd	taavtijn	tavtijguin	tavtijttáá		T	luu	ä_i	
rahti	raahti	raahtin	raahtist	rahtijn	rahtittáá	rahtin	raahtih	raahtij	raahtijd	rahtijd	rahtijn	rahtijguin	rahtijttáá		T	rahti	a_i uusi sana, laina	
tatti	taati	taatin	taatist	tattijn	tatittáá	tattin	taatih	taatij	taatijd	tattijd	taatijn	tatijguin	tatijttáá		T	tatti		
veerdi	veerdi	viärdán	veerdist	veRdijn	verdittáá	veerdin	veerdih	veerdij verdij	veerdijd	verdijd	veerdijn	verdijguin	verdijttáá		T	väärti	ee_i	
peldi	peeldi	peeldin	peeldist	peldijn	peldittáá	peldin	peeldih	peeldij peldij	peeldijd	peldijd	peeldijn	peldijguin	peldijttáá		T 	pelti	e_i lainasana	
