cirrá	cIRá	ciiRán	cirráást	cirráin	cIRáttáá	cirrán	ciráh	ciráj	ciráid	cirááid	ciráijn	ciráguin	ciráittáá	iCá		
hellá	hELá	heeLán	helláást	helláin	hELáttáá	hellán	hELáh	hELái	heLáid	helláid	hELáin	hELáiguin	hELáittáá	T	 hella	
pYErá	pYErá	pYErán	pYErást	pYEráin	pyEráttáá	pYErán	pYEráh	pYErái	pYEráid	pYErááid	pYEráin	pyEráiguin	pyEráittáá	yeCá	T	 pyörä
pijgá	piijgá	piijgán	pijgáást	piijgáin	pIjgáttáá	pijgán	pIjgáh	piijgái / pIjgái	pijgáid	pijgáid	piijgáin	pIjgáiguin	pIjgáittáá	iCá	T	 piika
stIHá	stIVá	stiHán	stiiváást	stiVáin	stIVáttáá	stihháán	stIVáh	stIVái	stIVáid	stIVáid	stIVáin	stIVáiguin	stIVáittáá	iCá	 T	 
liljá	lIljá	liilján	liljáást	liljáin	lIljáttáá	lilján	lIljáh	lIljái	liljáid	liljáid	lIljáin	lIljáiguin	lIljáittáá	iCá	T	lilja
tiljá	tIljá	tiilján	tiljáást	tiljáin	tIljáttáá	tilján	tIljáh	tIljái	tiljáid	tiljáid	tIljáin	tIljáiguin	tIljáittáá	iCá	T	
linnjá	lInjá	liinján	linjáást	linjáin	lInjáttáá	linnján	lInjáh	lInjái	linjáid	linjáid	linjáin	lInjáiguin	lInjáittáá	iCá	T	
tikká	tIká	tiikán	tikkáást	tikkáin	tIkáttáá	tikkán	tIkáh	tIkái	tikkáid	tikkáid	tIkáin	tIkáiguin	tIkáittáá	iCá	T	
sivlá	sIvlá	siivlán	sivláást	sivláin	sIvláttáá	sivlán	sIvláh	siivlái / sIvlái	sivláid	sivláid	sIvláin	sIvláiguin	sIvláittáá	iCá	 T	
lijmá	lIjmá	liijmán	lijmáást	lijmáin	lIjmáttáá	lijmán	lIjmáh	liijmái / lIjmái	lijmáid	lijmáid	liijmáin	lIjmáiguin	lIjmáittáá	iCá	 T	
sijmá	sIjmá	siijmán	sijmáást	sijmáin	sIjmáttáá	sijmán	siijmáh / sIjmáh	sIjmái / siijmái	sijmáid	sijmáid	siijmáin	sIjmáiguin	sIjmáittáá	iCá	 T	
rIpá	rIvá	rIpán	riiváást	rIváin	rIváttáá	rippáán	rIváh	rIvái	rIváid	rIváid	rIváin	rIváiguin	rIváittáá	iCá	T	
cirrá	ciRá	ciiRán	cirráást	cirráin	cIRáttáá	cirrán	ciRáh	ciRái	cirráid	cirráid	ciRáin	cIRáguin	cIRáittáá	iCá	T	
kissá	kiSá	kiiSán	kissáást	kissáin	kISáttáá	kissán	kiSáh	kiSái	kissáid	kissáid	kiSáin	kISáguin	kISáittáá	iCá	T	
pittá	pItá	piitán	pittáást	pittáin	pItáttáá	pittán	pItáh	pItái	pittáid	pittáid	pItáin	pItáiguin	pItáittáá	iCá	T	
hijvá	hiijvá	hiijván	hijváást	hijváin	hIjváttáá	hijván	hIjváh	hIjvái	hijváid	hijváid	hIjváin	hIjváguin	hIjváittáá	iCá	T	
