1045557 
42469 já	já+CC
15872 lii	leđe+V+IV+Ind+Prs+Sg3
10341 et	et+CS
8270 ij	ij+V+Neg+Prs+Sg3
7268 tot	tot+Pron+Dem+Sg+Nom
7206 láá	leđe+V+IV+Ind+Prs+Pl3
6422 sun	sun+Pron+Pers+Sg3+Nom
4682 lijjii	leđe+V+IV+Ind+Prt+Pl3
4114 mii	mun+Pron+Pers+Pl1+Gen
4114 mii	mii+Pron+Interr+Sg+Nom
3905 tom	tot+Pron+Dem+Sg+Acc
3208 lah	leđe+V+IV+Ind+Prs+Sg2
3163 mun	mun+Pron+Pers+Sg1+Nom
2908 ton	tot+Pron+Dem+Sg+Gen
2736 muu	mun+Pron+Pers+Sg1+Gen
2736 muu	mun+Pron+Pers+Sg1+Acc
2650 suu	sun+Pron+Pers+Sg3+Gen
2650 suu	sun+Pron+Pers+Sg3+Acc
2620 tast	tot+Pron+Dem+Sg+Loc
2502 Sun	sun+Pron+Pers+Sg3+Nom
2502 Sun	Sun+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
2433 toh	tot+Pron+Dem+Pl+Nom
2401 mon	mii+Pron+Interr+Sg+Gen
2401 mon	mii+Pron+Interr+Sg+Acc
2326 Tot	tot+Pron+Dem+Sg+Nom
2199 iä	ij+V+Neg+Prs+Pl3
2104 leđe	leđe+V+IV+Inf
2010 lam	leđe+V+IV+Ind+Prs+Sg1
1884 maid	mii+Pron+Interr+Sg+Acc
1884 maid	mii+Pron+Interr+Pl+Acc
1805 puoh	puoh+Adv
1779 taid	tot+Pron+Dem+Pl+Acc
1713 maŋa	maŋa+Po
1713 jiem	ij+V+Neg+Prs+Sg1
1607 tääl	tääl+Adv
1586 tâi	tâi+CC
1537 Mun	mun+Pron+Pers+Sg1+Nom
1524 ive	ihe+N+Sg+Gen
1524 ive	ihe+N+Sg+Acc
1482 jis	jis+CS
1327 toos	tot+Pron+Dem+Sg+Ill
1314 mij	mun+Pron+Pers+Pl1+Nom
1314 mij	mun+Pron+Pers+Pl1+Acc
1290 moh	mii+Pron+Interr+Pl+Nom
1244 mast	mii+Pron+Interr+Sg+Loc
1159 oolâ	oolâ+Adv
1158 Matti	Matti+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
1158 Matti	Matti+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
1158 Matti	Matti+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
1135 lijjim	leđe+V+IV+Ind+Prt+Sg1
1129 tun	tun+Pron+Pers+Sg2+Nom
1095 maht	maht+Adv
 997 sehe	sehe+CC
 997 sehe	sehe+Adv
 974 sij	sun+Pron+Pers+Pl3+Nom
 974 sij	sun+Pron+Pers+Pl3+Acc
 964 meddâl	meddâl+Adv
 830 ovdil	ovdil+Pr
 830 ovdil	ovdil+Po
 803 Tääl	tääl+Adv
 800 Ij	ij+V+Neg+Prs+Sg3
 783 Jis	jis+CS
 771 Jiem	ij+V+Neg+Prs+Sg1
 764 munjin	mun+Pron+Pers+Sg1+Ill
 761 Immeel	immeel+N+Sg+Nom
 761 Immeel	immeel+N+Sg+Gen
 761 Immeel	immeel+N+Sg+Acc
 736 siisâ	siisâ+Adv
 729 Ton	tot+Pron+Dem+Sg+Gen
 725 tuu	tun+Pron+Pers+Sg2+Gen
 725 tuu	tun+Pron+Pers+Sg2+Acc
 720 vâi	vâi+CC
 713 must	mun+Pron+Pers+Sg1+Loc
 699 Tast	tot+Pron+Dem+Sg+Loc
 695 tiäđust-uv	tiäđust-uv+Adv
 686 tääbbin	tääbbin+Adv
 678 Mii	mun+Pron+Pers+Pl1+Gen
 678 Mii	mii+Pron+Interr+Sg+Nom
 673 Toh	tot+Pron+Dem+Pl+Nom
 666 tain	tot+Pron+Dem+Pl+Loc
 662 Aanaar	Aanaar+OLang/FINN+Prop+Sem/Plc+Sg+Nom
 662 Aanaar	Aanaar+N+Prop+Sg+Nom
 635 uási	uási+N+Sg+Nom
 635 uási	uási+N+Sg+Gen
 635 uási	uási+N+Sg+Acc
 627 kiäh	kii+Pron+Interr+Pl+Nom
 623 teikkâ	teikkâ+CC
 618 sust	sun+Pron+Pers+Sg3+Loc
 607 ollágin	ollágin+Adv
 598 toi	tot+Pron+Dem+Pl+Gen
 585 muoi	mun+Pron+Pers+Du1+Nom
 584 toin	tot+Pron+Dem+Sg+Com
 579 kielâ	kielâ+N+Sg+Nom
 579 kielâ	kielâ+N+Sg+Gen
 579 kielâ	kielâ+N+Sg+Acc
 563 sunjin	sun+Pron+Pers+Sg3+Ill
 558 láin	leđe+V+IV+Ind+Prt+Du3
 545 main	mii+Pron+Interr+Pl+Loc
 541 Säämi	säämi+N+Sg+Nom
 541 Säämi	säämi+N+Sg+Gen
 541 Säämi	säämi+N+Sg+Acc
 539 lii-uv	leđe+V+IV+Ind+Prs+Sg3+Qst
 538 olmooš	olmooš+N+Sg+Nom
 538 olmooš	olmooš+N+Sg+Gen
