							
							
			1A				
			ei dift 1 tavussa?				
Noun - alttar:	# 1A ei dift 1 tavussa?		ALTTAR				
N+Sg+Nom	alttar		Nom. 	alttar	alttareh		
N+Sg+Gen	alttar		Gen.	alttar	alttarij		
N+Sg+Acc	alttar		Akk.	alttar	alttarijd		
N+Sg+Ill	alttarân		Ill.	alttarân	alttaráid		
N+Sg+Loc	alttarist		Lokat.	alttarist	alttarijn		
N+Sg+Com	alttaráin		Kom. 	alttaráin	alttarijguin		
N+Sg+Abe	alttarttáá		Abess.	alttarttáá	alttarijttáá		
N+Ess	alttarin		Ess.	alttarin			
N+Par	alttarid		part.	alttarid			
N+Pl+Nom	alttareh						
N+Pl+Gen	alttarij						
N+Pl+Acc	alttarijd						
N+Pl+Ill	alttaráid						
N+Pl+Loc	alttarijn						
N+Pl+Com	alttarijguin						
N+Pl+Abe	alttarijttáá						
							
							
							
							
			1B	g-v			
			1b	hhoo-›ho			
Noun - čohhoom:	# 1B g-v, hhoo-›ho		ČOHHOOM				
N+Sg+Nom	čohhoom		Nom. 	čohhoom		čohomeh	hhoo-›ho
N+Sg+Gen	čohhoom		Gen.	čohhoom		čohomij	hhoo-›ho
N+Sg+Acc	čohhoom		Akk.	čohhoom		čohomijd	hhoo-›ho
N+Sg+Ill	čohomân		Ill.	čohomân	hhoo-›ho	čohomáid	hhoo-›ho
N+Sg+Loc	čohomist		Lokat.	čohomist	hhoo-›ho	čohomijn	hhoo-›ho
N+Sg+Com	čohomáin		Kom. 	čohomáin	hhoo-›ho	čohomijguin	hhoo-›ho
N+Sg+Abe	čohhoomttáá		Abess.	čohhoomttáá		čohomijttáá	hhoo-›ho
N+Ess	čohomin 		Ess.	čohomin 	hhoo-›ho		
N+Par	čohomid		part.	čohomid	hhoo-›ho		
N+Pl+Nom	čohomeh						
N+Pl+Gen	čohomij						
N+Pl+Acc	čohomijd						
N+Pl+Ill	čohomáid						
N+Pl+Loc	čohomijn						
N+Pl+Com	čohomijguin						
N+Pl+Abe	čohomijttáá						
							
							
							
							
							
			1b				
			RUKKOOS				
							
Noun - rukkoos:	# 1B kkoo-›ko		kkoo-›ko				
N+Sg+Nom	rukkoos		Nom. 	rukkoos		rukoseh	kkoo-›ko
N+Sg+Gen	rukkoos		Gen.	rukkoos		rukosij	kkoo-›ko
N+Sg+Acc	rukkoos		Akk.	rukkoos		rukosijd	kkoo-›ko
N+Sg+Ill	rukosân		Ill.	rukosân	kkoo-›ko	rukosáid	kkoo-›ko
N+Sg+Loc	rukosist		Lokat.	rukosist	kkoo-›ko	rukosijn	kkoo-›ko
N+Sg+Com	rukosáin		Kom. 	rukosáin	kkoo-›ko	rukosijguin	kkoo-›ko
N+Sg+Abe	rukkoosttáá		Abess.	rukkoosttáá		rukosijttáá	kkoo-›ko
N+Ess	rukosin		Ess.	rukosin	kkoo-›ko		
N+Par	rukosid		part.	rukosid	kkoo-›ko		
N+Pl+Nom	rukoseh						
N+Pl+Gen	rukosij						
N+Pl+Acc	rukosijd						
N+Pl+Ill	rukosáid						
N+Pl+Loc	rukosijn						
N+Pl+Com	rukosijguin						
N+Pl+Abe	rukosijttáá						
							
							
							
			1b				
			KAPPEER				
			g-v				
Noun - kappeer:	# 1B g-v, ppee-›pe		ppee-›pe				
N+Sg+Nom	kappeer		Nom. 	kappeer		kapereh	ppee-›pe
N+Sg+Gen	kappeer		Gen.	kappeer		kaperij	ppee-›pe
N+Sg+Acc	kappeer		Akk.	kappeer		kaperijd	ppee-›pe
N+Sg+Ill	kaperân		Ill.	kaperân	ppee-›pe	kaperáid	ppee-›pe
N+Sg+Loc	kaperist		Lokat.	kaperist	ppee-›pe	kaperijn	ppee-›pe
N+Sg+Com	kaperáin		Kom. 	kaperáin	ppee-›pe	kaperijguin	ppee-›pe
N+Sg+Abe	kappeerttáá		Abess.	kappeerttáá		kaperijttáá	ppee-›pe
N+Ess	kaperin		Ess.	kaperin	ppee-›pe		
N+Par	kaperid		part.	kaperid	ppee-›pe		
N+Pl+Nom	kapereh						
N+Pl+Gen	kaperij						
N+Pl+Acc	kaperijd						
N+Pl+Ill	kaperáid						
N+Pl+Loc	kaperijn						
N+Pl+Com	kaperijguin						
N+Pl+Abe	kaperijttáá						
							
							
							
			1b				
			MUUSIK				
			v-k				
							
			k-kk				
Noun - muusik:	# 1B v-k, k-kk		?????				
N+Sg+Nom	muusik		Nom. 	muusik		musikkeh	
N+Sg+Gen	muusik		Gen.	muusik		musikkij	
N+Sg+Acc	muusik		Akk.	muusik		musikkijd	
N+Sg+Ill	musikân		Ill.	musikkân			
N+Sg+Loc	musikist		Lokat.	musikkist			
N+Sg+Com	musikkáin	# C > CC	Kom. 	musikkáin			
N+Sg+Abe	muusikttáá	# ??	Abess.	muusik??			
N+Ess			Ess.				
N+Par			part.				
N+Pl+Nom	musikeh						
N+Pl+Gen	musikij						
N+Pl+Acc	musikijd						
N+Pl+Ill	musikáid						
N+Pl+Loc	musikijn						
N+Pl+Com	musijkijguin						
N+Pl+Abe	muusikttáá			# Muusik tärhistum Matti Morottajain. Variaatio lii, mut huksip systematia.  			
							
	# Suujât aainâs-uv taldrik, pottáák, apteek; k, p,t-säänih. 						
							
			1b				
			ČÄÄLLIM				
			v-g				
Noun - čäällim:	# 1B v-g, ääll-›äl		ääll-›äl				
N+Sg+Nom	čäällim		Nom. 	čäällim		čälimeh	ääll-›äl
